Item_code,Item,Variable,Value,Primary_reference_of_dataset,Reference_where_data_were_collated,Website_of_source_of_collated_data
521,Pears,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.0029,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
534,Peaches and nectarines,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.003,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
544,Strawberries,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.01,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
552,Blueberries,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.001,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
560,Grapes,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.0042,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
571,"Mangoes, mangosteens, guavas",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.007,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
572,Avocados,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.003,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
574,Pineapples,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.001,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
600,Papayas,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.119,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
656,"Coffee, green",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.017,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
661,"Cocoa, beans",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.028,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
773,Flax fibre and tow,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.045,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
826,"Tobacco, unmanufactured",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.036,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
836," Rubber, natural",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.006,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
