Item_code,Item,Variable,Value,Primary_reference_of_dataset,Reference_where_data_were_collated,Website_of_source_of_collated_data
242,"Groundnuts, with shell",N_fixed_metric_t_fixed_per_metric_tonne_crop_product,0.05,"N fixation data came from http://fenix.fao.org/faostat/internal/en/#data/QCL and Zhang, X. et al. Managing nitrogen for sustainable development. Nature 528, 51-59 (2015).","FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
15,Wheat,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.021,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
27,"Rice, paddy",N_removal_metric_t_N_removed_per_metric_t_crop_product,0.013,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
44,Barley,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.021,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
56,Maize,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.012,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
71,Rye,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.025,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
75,Oats,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.024,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
79,Millet,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.028,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
83,Sorghum,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.013,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
89,Buckwheat,N_removal_metric_t_N_removed_per_metric_t_crop_product,0.017,Where available data came from IPNI (2014)(http://www.ipni.net/) and where data for certain crops were not available they used data from; https://nutrien-ekonomics.com/tools-to-calculate-fertilizer-needs/calculators/nutrient-removal/,"FAO(2020) FAOSTAT Domain Soil Nutrient Budget Metadata, release December 2020 https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf",https://fenixservices.fao.org/faostat/static/documents/ESB/ESB_e.pdf
