"tier","region","country","iso3_code","item","item_code","item_group_code","crop_component","DM_pc","HI","N_pc","P_pc","K_pc","S_pc","N_pc_fresh","P_pc_fresh","K_pc_fresh","S_pc_fresh","N_kg_per_t_fresh_wt","P_kg_per_t_fresh_wt","K_kg_per_t_fresh_wt","S_kg_per_t_fresh_wt"
1,"World",NA,NA,"Cashewapple",591,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.128,NA,NA,NA,1.28,NA,NA,NA
1,"World",NA,NA,"Cassava",125,1714,"Crop_products",32.6,NA,0.2,0.04,0.811273006134969,NA,0.247,0.0303,0.264475,NA,2.47,0.303,2.64475,NA
1,"World",NA,NA,"Cassava",125,1714,"Crop_residues",85,NA,0.541176470588235,0.105882352941176,0.164705882352941,NA,0.46,0.09,0.14,NA,4.6,0.9,1.4,NA
1,"World",NA,NA,"Castor oil seed",265,1714,"Crop_products",NA,NA,3.974,0.65,NA,NA,1.44,NA,NA,NA,14.4,NA,NA,NA
1,"World",NA,NA,"Cauliflowers and broccoli",393,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.4075,0.0804,0.332933333333333,0,4.075,0.804,3.32933333333333,0
1,"World",NA,NA,"Cereals nes",108,1714,"Crop_products",87.5,NA,1.73273363333333,0.31,0.511428571428571,NA,1.4325,0.33,0.4475,NA,14.325,3.3,4.475,NA
1,"World",NA,NA,"Cereals nes",108,1714,"Crop_residues",NA,0.434782608695652,0.69,0.085,NA,NA,1.09,0.23,3.86,NA,10.9,2.3,38.6,NA
1,"World",NA,NA,"Cherries",531,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.176,NA,NA,NA,1.76,NA,NA,NA
1,"World",NA,NA,"Cherries, sour",530,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.144,NA,NA,NA,1.44,NA,NA,NA
1,"World",NA,NA,"Chestnut",220,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.288,NA,NA,NA,2.88,NA,NA,NA
1,"World",NA,NA,"Chick peas",191,1714,"Crop_products",86,0.5,3.051200095,0.4054286,1.0375,NA,2.732823088625,0.506,1.5272,NA,27.32823088625,5.06,15.272,NA
1,"World",NA,NA,"Chicory roots",459,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.176,NA,NA,NA,1.76,NA,NA,NA
1,"World",NA,NA,"Chillies and peppers, dry",689,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,1.3,0.124,1.162,NA,13,1.24,11.62,NA
1,"World",NA,NA,"Chillies and peppers, green",401,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.2165,0.0510666666666667,0.229633333333333,NA,2.165,0.510666666666667,2.29633333333333,NA
1,"World",NA,NA,"Cinnamon (cannella)",693,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,1.1685,0.135733333333333,1.1952,NA,11.685,1.35733333333333,11.952,NA
1,"World",NA,NA,"Cloves",698,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,1.84,0.307333333333333,1.71533333333333,NA,18.4,3.07333333333333,17.1533333333333,NA
1,"World",NA,NA,"Cocoa, beans",661,1714,"Crop_products",NA,NA,NA,NA,NA,NA,2.4375,0.547333333333333,3.984,NA,24.375,5.47333333333333,39.84,NA
1,"World",NA,NA,"Coconuts",249,1714,"Crop_products",89.6,NA,0.2,0.04,0.6625,NA,1.53733333333333,0.2623,0.5936,NA,15.3733333333333,2.623,5.936,NA
1,"World",NA,NA,"Coconuts",249,1714,"Crop_residues",89.3333333333333,NA,3.02238805970149,0.638059701492537,2.83208955223881,NA,2.7,0.57,2.53,NA,27,5.7,25.3,NA
1,"World",NA,NA,"Coffee, green",656,1714,"Crop_products",100,NA,2.4,0.22,1.7065,NA,2.1944,0.2955,1.7065,NA,21.944,2.955,17.065,NA
1,"World",NA,NA,"Coffee, green",656,1714,"Crop_residues",85,NA,0.505882352941176,0.447058823529412,1.09411764705882,NA,0.43,0.38,0.93,NA,4.3,3.8,9.3,NA
1,"World",NA,NA,"Cow peas, dry",195,1714,"Crop_products",58.515,NA,3.972044228,0.42,2.60992907801418,NA,3.08912943527333,0.506,1.5272,NA,30.8912943527333,5.06,15.272,NA
1,"World",NA,NA,"Cranberries",554,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.064,NA,NA,NA,0.64,NA,NA,NA
1,"World",NA,NA,"Cucumbers and gherkins",397,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.14,0.0452,0.160466666666667,NA,1.4,0.452,1.60466666666667,NA
1,"World",NA,NA,"Currants",550,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.224,NA,NA,NA,2.24,NA,NA,NA
1,"World",NA,NA,"Dates",577,1714,"Crop_products",NA,NA,1.631,0.27,NA,NA,0.33,0.0924,0.2822,NA,3.3,0.924,2.822,NA
1,"World",NA,NA,"Eggplants (aubergines)",399,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.261,0.0657333333333333,0.276666666666667,NA,2.61,0.657333333333333,2.76666666666667,NA
1,"World",NA,NA,"Fibre crops nes",821,1714,"Crop_products",100,NA,8.1,0.95,0.332,NA,0.427,0.11,0.332,NA,4.27,1.1,3.32,NA
1,"World",NA,NA,"Figs",569,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.304,NA,NA,NA,3.04,NA,NA,NA
1,"World",NA,NA,"Flax fibre and tow",773,1714,"Crop_products",91,NA,3.898050975,0.462710622710623,0.803479853479854,0.373626373626374,1.89733333333333,0.421066666666667,0.731166666666667,0.34,18.9733333333333,4.21066666666667,7.31166666666667,3.4
1,"World",NA,NA,"Flax fibre and tow",773,1714,"Crop_residues",NA,NA,NA,NA,NA,NA,1.3,0.1292,3.239,0.27,13,1.292,32.39,2.7
1,"World",NA,NA,"Fonio",94,1714,"Crop_products",NA,NA,1.36,0.21,NA,NA,1.28,0.22,0.415,NA,12.8,2.2,4.15,NA
1,"World",NA,NA,"Fruit, citrus nes",512,1714,"Crop_products",10.3,NA,0.57,0.105,2.08932038834951,NA,0.152,0.0378,0.2152,NA,1.52,0.378,2.152,NA
1,"World",NA,NA,"Fruit, citrus nes",512,1714,"Crop_residues",NA,NA,NA,NA,NA,NA,0.06,0.02,0.44,NA,0.6,0.2,4.4,NA
1,"World",NA,NA,"Fruit, fresh nes",619,1714,"Crop_products",13.1,NA,1.385,0.01,1.5236641221374,NA,0.193333333333333,0.043,0.1996,NA,1.93333333333333,0.43,1.996,NA
1,"World",NA,NA,"Fruit, fresh nes",619,1714,"Crop_residues",NA,NA,NA,NA,NA,NA,0.18,0.02,0.49,NA,1.8,0.2,4.9,NA
1,"World",NA,NA,"Fruit, pome nes",542,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.3,0.066,0.1992,NA,3,0.66,1.992,NA
1,"World",NA,NA,"Fruit, stone nes",541,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.222,0.066,0.1992,NA,2.22,0.66,1.992,NA
1,"World",NA,NA,"Fruit, tropical fresh nes",603,1714,"Crop_products",NA,NA,1.719,0.13,NA,NA,0.276,0.066,0.1992,NA,2.76,0.66,1.992,NA
1,"World",NA,NA,"Garlic",406,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.64,0.088,0.2656,NA,6.4,0.88,2.656,NA
1,"World",NA,NA,"Ginger",720,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,1.259,0.100533333333333,1.09006666666667,NA,12.59,1.00533333333333,10.9006666666667,NA
1,"World",NA,NA,"Gooseberries",549,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.144,NA,NA,NA,1.44,NA,NA,NA
1,"World",NA,NA,"Grain, mixed",103,1714,"Crop_products",NA,NA,NA,NA,NA,NA,1.5,0.22,0.415,NA,15,2.2,4.15,NA
1,"World",NA,NA,"Grapefruit (inc. pomelos)",507,1714,"Crop_products",NA,NA,1.12,0.16,NA,NA,0.18,NA,NA,NA,1.8,NA,NA,NA
1,"World",NA,NA,"Grapes",560,1714,"Crop_products",15,NA,2.263,0.27,2.58444444444444,0,0.3175,0.0569333333333333,0.387666666666667,0,3.175,0.569333333333333,3.87666666666667,0
1,"World",NA,NA,"Groundnuts, with shell",242,1714,"Crop_products",94.1,NA,4.245992004,0.42,0.790294013460857,NA,3.428,0.361333333333333,0.743666666666667,NA,34.28,3.61333333333333,7.43666666666667,NA
1,"World",NA,NA,"Groundnuts, with shell",242,1714,"Crop_residues",89.625,0.5,1.6,0.217350069735007,1.38688981868898,NA,1.595,0.1948,1.243,NA,15.95,1.948,12.43,NA
1,"World",NA,NA,"Gums, natural",839,1714,"Crop_products",NA,NA,NA,NA,NA,NA,14.75,NA,NA,NA,147.5,NA,NA,NA
1,"World",NA,NA,"Hazelnuts, with shell",225,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.93,0.2168,0.677833333333333,NA,9.3,2.168,6.77833333333333,NA
1,"World",NA,NA,"Hemp tow waste",777,1714,"Crop_products",NA,NA,NA,NA,NA,NA,0.314,0.11,0.332,NA,3.14,1.1,3.32,NA
1,"World",NA,NA,"Hempseed",336,1714,"Crop_products",NA,NA,3.83727536233333,0.46,NA,NA,2.51,0.22,0.415,NA,25.1,2.2,4.15,NA
1,"World",NA,NA,"Hops",677,1714,"Crop_products",NA,NA,3.856,0.61,NA,NA,2.075,0.3,1.6932,NA,20.75,3,16.932,NA
1,"World",NA,NA,"Jojoba seed",277,1714,"Crop_products",NA,NA,3.34,NA,NA,NA,5.6,1.232,3.7184,NA,56,12.32,37.184,NA
1,"World",NA,NA,"Jute",780,1714,"Crop_products",NA,NA,NA,NA,NA,NA,0.266,0.11,0.332,NA,2.66,1.1,3.32,NA
1,"World",NA,NA,"Karite nuts (sheanuts)",263,1714,"Crop_products",NA,NA,2.358,0.1,NA,NA,1.088,NA,NA,NA,10.88,NA,NA,NA
1,"World",NA,NA,"Kiwi fruit",592,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.167,0.044,0.1245,NA,1.67,0.44,1.245,NA
1,"World",NA,NA,"Kola nuts",224,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,1.44,NA,NA,NA,14.4,NA,NA,NA
1,"World",NA,NA,"Leeks, other alliaceous vegetables",407,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.305,0.088,0.2656,NA,3.05,0.88,2.656,NA
1,"World",NA,NA,"Lemons and limes",497,1714,"Crop_products",NA,NA,1.808,NA,NA,NA,0.19,0.044,0.1328,NA,1.9,0.44,1.328,NA
1,"World",NA,NA,"Lentils",201,1714,"Crop_products",86,NA,4.0540254875,0.684186046511628,2.26802325581395,NA,3.5768647677,0.5884,1.9505,NA,35.768647677,5.884,19.505,NA
1,"World",NA,NA,"Lettuce and chicory",372,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.241,0.0390666666666667,0.335333333333333,0,2.41,0.390666666666667,3.35333333333333,0
1,"World",NA,NA,"Linseed",333,1714,"Crop_products",NA,NA,3.566,0.63,NA,NA,3.04,0.704,2.1248,NA,30.4,7.04,21.248,NA
1,"World",NA,NA,"Lupins",210,1714,"Crop_products",88,NA,5.249796102,0.575,1.73545454545455,NA,4.68238380813333,0.506,1.5272,NA,46.8238380813333,5.06,15.272,NA
1,"World",NA,NA,"Maize",56,1714,"Crop_products",87.5,NA,1.59087996033333,0.2938512,0.440114285714286,0.16,1.23387239715278,0.29384,0.3851,0.14,12.3387239715278,2.9384,3.851,1.4
1,"World",NA,NA,"Maize",56,1714,"Crop_residues",73.744,0.45,0.763333333333333,0.1682,1.0873,0.176285528314168,0.834,0.14104,1.756,0.13,8.34,1.4104,17.56,1.3
1,"World",NA,NA,"Maize, green",446,1714,"Crop_products",20,NA,2.67,0.6944,2.9191,0.9375,0.76,0.13888,0.58382,0.1875,7.6,1.3888,5.8382,1.875
1,"World",NA,NA,"Mangoes, mangosteens, guavas",571,1714,"Crop_products",NA,NA,1.771,0.1,NA,NA,0.4035,0.0698666666666667,0.475866666666667,NA,4.035,0.698666666666667,4.75866666666667,NA
1,"World",NA,NA,"Manila fibre (abaca)",809,1714,"Crop_products",NA,NA,NA,NA,NA,NA,0.29,0.11,0.332,NA,2.9,1.1,3.32,NA
1,"World",NA,NA,"Melons, other (inc.cantaloupes)",568,1714,"Crop_products",NA,NA,NA,NA,NA,NA,0.22,0.0484,0.1494,NA,2.2,0.484,1.494,NA
1,"World",NA,NA,"Melonseed",299,1714,"Crop_products",NA,NA,3.34,NA,NA,NA,3.856,1.056,3.1872,NA,38.56,10.56,31.872,NA
1,"World",NA,NA,"Millet",79,1714,"Crop_products",87.5,NA,1.74725715,0.31344155,0.675565714285714,0.182857142857143,2.29033333333333,0.39112,0.59112,0.16,22.9033333333333,3.9112,5.9112,1.6
1,"World",NA,NA,"Millet",79,1714,"Crop_residues",87.3,0.374833333333334,0.675,0.33,2.075,NA,1.0875,0.1742,2.74,NA,10.875,1.742,27.4,NA
1,"World",NA,NA,"Mushrooms and truffles",449,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.928,NA,NA,NA,9.28,NA,NA,NA
1,"World",NA,NA,"Mustard seed",292,1714,"Crop_products",NA,NA,3.542,0.6,NA,NA,4.092,0.924,2.7888,NA,40.92,9.24,27.888,NA
1,"World",NA,NA,"Nutmeg, mace and cardamoms",702,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,1.44266666666667,0.131,1.577,NA,14.4266666666667,1.31,15.77,NA
1,"World",NA,NA,"Nuts nes",234,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,1.12,NA,NA,NA,11.2,NA,NA,NA
1,"World",NA,NA,"Oats",75,1714,"Crop_products",89,NA,1.949025487,0.418651685393258,0.529410112359551,0.247191011235955,2.16780466906143,0.3726,0.471175,0.22,21.6780466906143,3.726,4.71175,2.2
1,"World",NA,NA,"Oats",75,1714,"Crop_residues",52.035,0.434782608695652,0.7,0.384741039684828,4.22984529643509,0.600557317190353,0.8775,0.2002,2.201,0.3125,8.775,2.002,22.01,3.125
1,"World",NA,NA,"Oil palm fruit",254,1714,"Crop_products",NA,NA,2.43,0.34,NA,NA,0.3916,0.068,0.47475,NA,3.916,0.68,4.7475,NA
1,"World",NA,NA,"Oil palm fruit",254,1714,"Crop_residues",NA,NA,NA,NA,NA,NA,0.37,0.06,0.33,NA,3.7,0.6,3.3,NA
1,"World",NA,NA,"Oilseeds nes",339,1714,"Crop_products",91,NA,3.34,0.526007326007326,2.74549450549451,NA,1.769,0.478666666666667,2.4984,NA,17.69,4.78666666666667,24.984,NA
1,"World",NA,NA,"Okra",430,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.2865,0.0510666666666667,0.3403,NA,2.865,0.510666666666667,3.403,NA
1,"World",NA,NA,"Olives",260,1714,"Crop_products",35,NA,2.67,2.1927619047619,1.99990476190476,NA,0.67,0.767466666666667,0.699966666666667,NA,6.7,7.67466666666667,6.99966666666667,NA
1,"World",NA,NA,"Onions, dry",403,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.244,0.0584,0.1992,NA,2.44,0.584,1.992,NA
1,"World",NA,NA,"Onions, shallots, green",402,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.243,0.0510666666666667,0.177066666666667,NA,2.43,0.510666666666667,1.77066666666667,NA
1,"World",NA,NA,"Oranges",490,1714,"Crop_products",NA,NA,1.184,0.23,NA,NA,0.315,0.0413333333333333,0.350933333333333,0,3.15,0.413333333333333,3.50933333333333,0
1,"World",NA,NA,"Papayas",600,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,7.95466666666667,1.7876,14.442,NA,79.5466666666667,17.876,144.42,NA
1,"World",NA,NA,"Peaches and nectarines",534,1714,"Crop_products",18,NA,2.67,0.291851851851852,1.62925925925926,0,0.265,0.0525333333333333,0.293266666666667,0,2.65,0.525333333333333,2.93266666666667,0
1,"World",NA,NA,"Pears",521,1714,"Crop_products",18,NA,2.67,0.27037037037037,1.31648148148148,0,0.2335,0.0486666666666667,0.236966666666667,0,2.335,0.486666666666667,2.36966666666667,0
1,"World",NA,NA,"Peas, dry",187,1714,"Crop_products",NA,NA,4.21,NA,NA,NA,3.9,0.873333333333333,0.9798,0,39,8.73333333333333,9.798,0
1,"World",NA,NA,"Peas, green",417,1714,"Crop_products",44.11,0.286,2.891,0.2926,1.0624,NA,1.67,0.33,0.996,NA,16.7,3.3,9.96,NA
1,"World",NA,NA,"Pepper (piper spp.)",687,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,1.22,0.131,1.577,NA,12.2,1.31,15.77,NA
1,"World",NA,NA,"Peppermint",748,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,1.1425,0.129866666666667,1.1786,NA,11.425,1.29866666666667,11.786,NA
1,"World",NA,NA,"Persimmons",587,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.096,NA,NA,NA,0.96,NA,NA,NA
1,"World",NA,NA,"Pigeon peas",197,1714,"Crop_products",NA,NA,3.748125937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"World",NA,NA,"Pineapples",574,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.103,0.0132,0.1494,NA,1.03,0.132,1.494,NA
1,"World",NA,NA,"Pistachios",223,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,1.648,NA,NA,NA,16.48,NA,NA,NA
1,"World",NA,NA,"Plantains and others",489,1714,"Crop_products",65.3,NA,1.17,0.16,0.686255742725881,NA,0.3976,0.0353,0.448125,NA,3.976,0.353,4.48125,NA
1,"World",NA,NA,"Plantains and others",489,1714,"Crop_residues",NA,NA,NA,NA,NA,NA,0.12,0.03,0.64,NA,1.2,0.3,6.4,NA
1,"World",NA,NA,"Plums and sloes",536,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.24,NA,NA,NA,2.4,NA,NA,NA
1,"World",NA,NA,"Poppy seed",296,1714,"Crop_products",NA,NA,3.59,0.98,NA,NA,2.89,0.638,1.9256,NA,28.9,6.38,19.256,NA
1,"World",NA,NA,"Potatoes",116,1714,"Crop_products",21.6,NA,0.87,0.05,2.63796296296296,0.138888888888889,0.2735,0.0804,0.5698,0.03,2.735,0.804,5.698,0.3
1,"World",NA,NA,"Potatoes",116,1714,"Crop_residues",NA,0.714285714285714,1.9,NA,NA,NA,0.205,0.0341,0.347475,0.02,2.05,0.341,3.47475,0.2
1,"World",NA,NA,"Pulses nes",211,1714,"Crop_products",85,0.5,3.6158946374,0.265333333333333,1.66,NA,2.60666666666667,0.423,1.3186,NA,26.0666666666667,4.23,13.186,NA
1,"World",NA,NA,"Pulses nes",211,1714,"Crop_residues",93.33,NA,1.18,0.11,1.40362155791278,NA,1.04,0.1,1.31,NA,10.4,1,13.1,NA
1,"World",NA,NA,"Pumpkins, squash and gourds",394,1714,"Crop_products",NA,NA,2.495,0.26,NA,NA,0.305,0.0428,0.383133333333333,0,3.05,0.428,3.83133333333333,0
1,"World",NA,NA,"Pyrethrum, dried",754,1714,"Crop_products",NA,NA,2.112,0.24,NA,NA,1.46666666666667,0.131,1.577,NA,14.6666666666667,1.31,15.77,NA
1,"World",NA,NA,"Quinces",523,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.032,NA,NA,NA,0.32,NA,NA,NA
1,"World",NA,NA,"Quinoa",92,1714,"Crop_products",NA,NA,2.432,0.41,NA,NA,1.71,0.22,0.415,NA,17.1,2.2,4.15,NA
1,"World",NA,NA,"Ramie",788,1714,"Crop_products",NA,NA,NA,NA,NA,NA,0.402,0.11,0.332,NA,4.02,1.1,3.32,NA
1,"World",NA,NA,"Rapeseed",270,1714,"Crop_products",91,NA,3.4080689655,0.645,0.72967032967033,NA,3.18096551722,0.704,0.664,NA,31.8096551722,7.04,6.64,NA
1,"World",NA,NA,"Raspberries",547,1714,"Crop_products",NA,NA,2.67,NA,NA,NA,0.144,NA,NA,NA,1.44,NA,NA,NA
1,"World",NA,NA,"Rice, paddy",27,1714,"Crop_products",88.5,NA,1.276850075,0.27,0.336225988700565,0,1.24393231957143,0.28696,0.29756,0,12.4393231957143,2.8696,2.9756,0
1,"World",NA,NA,"Rice, paddy",27,1714,"Crop_residues",87.7357142857143,0.408333333333334,0.65,0.0956,1.3778,NA,0.905,0.1472,2.20075,NA,9.05,1.472,22.0075,NA
1,"World",NA,NA,"Roots and tubers nes",149,1714,"Crop_products",27,NA,0.742,0.18,1.07407407407407,NA,0.4365,0.03,0.29,NA,4.365,0.3,2.9,NA
1,"World",NA,NA,"Roots and tubers nes",149,1714,"Crop_residues",NA,NA,2.64,0.29,NA,NA,0.19,0.05,0.31,NA,1.9,0.5,3.1,NA
1,"World",NA,NA,"Rubber, natural",836,1714,"Crop_products",100,NA,0,0,0.40135,NA,0.65,0.1218,0.40135,NA,6.5,1.218,4.0135,NA
1,"World",NA,NA,"Rubber, natural",836,1714,"Crop_residues",NA,NA,NA,NA,NA,NA,0.1,0.02,0.4,NA,1,0.2,4,NA
1,"World",NA,NA,"Rye",71,1714,"Crop_products",88,NA,1.8734752625,0.35,0.497159090909091,0.204545454545455,2.212,0.3417,0.4375,0.18,22.12,3.417,4.375,1.8
1,"World",NA,NA,"Rye",71,1714,"Crop_residues",85,0.384615384615385,0.5,0.2,2.63529411764706,0.294117647058824,1.4,0.17,2.24,0.25,14,1.7,22.4,2.5
1,"World",NA,NA,"Safflower seed",280,1714,"Crop_products",NA,NA,2.64498350833333,NA,NA,NA,3.5055,0.532933333333333,2.3324,0,35.055,5.32933333333333,23.324,0
1,"World",NA,NA,"Seed cotton",328,1714,"Crop_products",NA,NA,3.34,NA,NA,NA,5.85,1.1624,3.15133333333333,0,58.5,11.624,31.5133333333333,0
1,"World",NA,NA,"Seed cotton",328,1714,"Crop_residues",NA,NA,NA,NA,NA,NA,0.8,0.13,1.66,0.13,8,1.3,16.6,1.3
1,"World",NA,NA,"Sesame seed",289,1714,"Crop_products",94,NA,3.3456251875,0.59,1.02835106382979,NA,2.574,0.5118,0.96665,NA,25.74,5.118,9.6665,NA
1,"World",NA,NA,"Sesame seed",289,1714,"Crop_residues",NA,NA,NA,NA,NA,NA,1.5,0.54,2.11,NA,15,5.4,21.1,NA
1,"World",NA,NA,"Sisal",789,1714,"Crop_products",NA,NA,NA,NA,NA,NA,0.5,0.11,0.332,NA,5,1.1,3.32,NA
1,"World",NA,NA,"Sorghum",83,1714,"Crop_products",87,NA,1.6317751125,0.2804,1.411,0.29,1.40317455560714,0.38328,0.43528,0.12,14.0317455560714,3.8328,4.3528,1.2
1,"World",NA,NA,"Sorghum",83,1714,"Crop_residues",85,0.374833333333334,0.55,0.1012,1.8011,0.3,1.156,0.21312,1.7788,0.255,11.56,2.1312,17.788,2.55
