"item","item_code","item_group_code","N_kg_per_t_fresh_wt","P_kg_per_t_fresh_wt","K_kg_per_t_fresh_wt","DM_pc","N_pc","P_pc","K_pc"
"String beans",423,1714,2.98,0.748,2.241,NA,4.21,NA,NA
"Sugar beet",157,1714,2.09333333333333,0.514,2.297,26,0.669333333333333,0.135,0.883461538461539
"Sugar cane",156,1714,4.744,0.313333333333333,1.34266666666667,23.2,0.22,0.04,0.578735632183908
"Sugar crops nes",161,1714,0,NA,NA,NA,1.04,0.24,NA
"Sunflower seed",267,1714,23.56,3.85,6.5,92,2.854,0.525,0.706521739130435
"Sweet potatoes",122,1714,3.405,0.776,6.86,27.2,0.59,0.09,2.52205882352941
"Tallowtree seed",305,1714,NA,NA,NA,NA,3.34,NA,NA
"Tangerines, mandarins, clementines, satsumas",495,1714,1.9,0.44,1.328,NA,1.264,NA,NA
"Taro (cocoyam)",136,1714,3.7,1.1,3.32,NA,0.864,0.44,NA
"Tea",667,1714,18.8,2.555,14.585,52.5,7.8,1.5,2.77809523809524
"Tobacco, unmanufactured",826,1714,41.75,6.6,47.7466666666667,21,0.3,0.06,22.7365079365079
"Tomatoes",388,1714,1.35,0.2,2.4,NA,2.671,NA,NA
"Triticale",97,1714,17.28,2.86,4.15,89,1.872,0.39,0.466292134831461
"Tung nuts",275,1714,48,NA,NA,NA,3.34,NA,NA
"Vanilla",692,1714,8.5,1.31,15.77,NA,2.67,NA,NA
"Vegetables, fresh nes",463,1714,5.62,0.9,2.6,7,1.435,0.03,3.71428571428571
"Vegetables, leguminous nes",420,1714,4.9,1.1,3.32,86,4.2342304,0.5433824,0.386046511627907
"Vetches",205,1714,33.4666666666667,3.96,17.372,NA,4.345,NA,NA
"Walnuts, with shell",222,1714,22.12,4.36,9.96,NA,2.67,NA,NA
"Watermelons",567,1714,1.8,NA,NA,NA,2.67,NA,NA
"Wheat",15,1714,20.94,4.2,5.2,88.6666666666667,2.052,0.35,0.586466165413534
"Yams",137,1714,2.08,NA,NA,NA,1.232,NA,NA
"Yautia (cocoyam)",135,1714,3.86,1.1,3.32,NA,NA,NA,NA
